,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
125,X,186553,401804,2253.75,Aminah Dimaporo,,Lakas,Lanao del Norte,2,/wiki/Lanao_del_Norte%27s_2nd_congressional_district
126,BARMM,317928,686512,7402.11,Zia Adiong,,Lakas,Lanao del Sur,1,/wiki/Lanao_del_Sur%27s_1st_congressional_district
127,BARMM,238863,509006,6092.26,Yasser Balindong,,Lakas,Lanao del Sur,2,/wiki/Lanao_del_Sur%27s_2nd_congressional_district
128,VII,214117,497604,58.1,Ma. Cynthia Chan,,Lakas,Lapu-Lapu,at-large,/wiki/Lapu-Lapu%27s_at-large_congressional_district
129,NCR,328384,606293,32.69,Camille Villar,,Nacionalista,Las Piñas,at-large,/wiki/Las_Pi%C3%B1as%27s_at-large_congressional_district
130,VIII,318057,534120,988.74,Martin Romualdez,,Lakas,Leyte,1,/wiki/Leyte%27s_1st_congressional_district
131,VIII,279400,417651,1476.72,Lolita Javier,,Nacionalista,Leyte,2,/wiki/Leyte%27s_2nd_congressional_district
132,VIII,127704,179492,651.64,Anna Veloso Tuazon,,NUP,Leyte,3,/wiki/Leyte%27s_3rd_congressional_district
133,VIII,309550,492035,1450.84,Richard Gomez,,PFP,Leyte,4,/wiki/Leyte%27s_4th_congressional_district
134,VIII,258171,405430,1947.11,Carl Cari,,Lakas,Leyte,5,/wiki/Leyte%27s_5th_congressional_district
135,BARMM,418672,926037,3988.82,Bai Dimple Mastura,,Lakas,Maguindanao del Norte,at-large,/wiki/Maguindanao_del_Norte%27s_at-large_congressional_district
136,BARMM,347825,741221,4728.9,Mohamad Tong Paglas,,Nacionalista,Maguindanao del Sur,at-large,/wiki/Maguindanao_del_Sur%27s_at-large_congressional_district
137,NCR,211303,254600,16.31,Romulo Peña Jr.,,Liberal,Makati,1,/wiki/Makati%27s_1st_congressional_district
138,NCR,241121,375016,15.65,Luis Campos Jr.,,NPC,Makati,2,/wiki/Makati%27s_2nd_congressional_district
139,NCR,222350,380522,15.71,Josephine Veronique Lacson-Noel,,NPC,Malabon,at-large,/wiki/Malabon%27s_at-large_congressional_district
